TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.evoservice.atm3.ATM3_ASM,LINE;BRANCH,0.8650568181818181,196,171
org.evoservice.atm3.ATM3_ASM,LINE;BRANCH,0.3146306818181818,196,3
org.evoservice.atm3.ATM3_ASM,LINE;BRANCH,0.9034090909090908,196,179
org.evoservice.atm3.ATM3_ASM,LINE;BRANCH,0.8416193181818181,196,168
org.evoservice.atm3.ATM3_ASM,LINE;BRANCH,0.3146306818181818,196,3
org.evoservice.atm3.ATM3_ASM,LINE;BRANCH,0.8802083333333333,196,175
org.evoservice.atm3.ATM3v2_ASM,LINE;BRANCH,0.9034090909090908,196,179
org.evoservice.atm3.ATM3v2_ASM,LINE;BRANCH,0.9039179104477613,198,181
org.evoservice.atm3.ATM3v2_ASM,LINE;BRANCH,0.9039179104477613,198,181
org.evoservice.atm3.ATM3v2_ASM,LINE;BRANCH,0.8891412502703873,205,185
org.evoservice.atm3.ATM3v2_ASM,LINE;BRANCH,0.3079710144927536,207,68
org.evoservice.atm3.ATM3v2_ASM,LINE;BRANCH,0.3129970585031049,204,3
org.evoservice.atm3.ATM3v2_ASM,LINE;BRANCH,0.3129970585031049,204,68
org.evoservice.atm3.ATM3v2_ASM,LINE;BRANCH,0.8731884057971014,207,184
org.evoservice.atm3.ATM3v2_ASM,LINE;BRANCH,0.8731884057971014,207,184
org.evoservice.atm3.ATM3v2,LINE;BRANCH,0.0,523,0
org.evoservice.atm3.ATM3v2,LINE;BRANCH,0.44891504941064414,523,246
org.evoservice.atm3.ATM3v2,LINE;BRANCH,0.4221551724137931,532,236
org.evoservice.atm3.ATM3v2,LINE;BRANCH,0.4372413793103448,532,243
org.evoservice.atm3.ATM3v2,LINE;BRANCH,0.4470402298850575,532,248
org.evoservice.atm3.ATM3v2,LINE;BRANCH,0.43341954022988505,532,241
org.evoservice.atm3.ATM3v2,LINE;BRANCH,0.19659334444576734,523,110
org.evoservice.atm3.ATM3v2,LINE;BRANCH,0.4591954022988506,532,255
