TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.evoservice.RegistroDiCassa.RegistroDiCassa_ASM,LINE;BRANCH,1.0,61,61
org.evoservice.RegistroDiCassa.RegistroDiCassa_ASM,LINE;BRANCH,1.0,66,66
org.evoservice.ASM.RegistroDiCassav2_ASM,LINE;BRANCH,1.0,64,64
org.evoservice.ASM.RegistroDiCassav2_ASM,LINE;BRANCH,1.0,64,64
org.evoservice.ASM.RegistroDiCassav2_ASM,LINE;BRANCH,1.0,64,64
org.evoservice.ASM.RegistroDiCassav2_ASM,LINE;BRANCH,1.0,64,64
org.evoservice.ASM.RegistroDiCassav2_ASM,LINE;BRANCH,1.0,64,64
org.evoservice.ASM.RegistroDiCassav2_ASM,LINE;BRANCH,1.0,64,64
org.evoservice.ASM.RegistroDiCassav2_ASM,LINE;BRANCH,1.0,64,64
org.evoservice.ASM.RegistroDiCassav2_ASM,LINE;BRANCH,1.0,64,64
org.evoservice.ASM.RegistroDiCassav2_ASM,LINE;BRANCH,1.0,55,55
org.evoservice.ASM.RegistroDiCassav2_ASM,LINE;BRANCH,1.0,55,55
org.evoservice.ASM.RegistroDiCassav2_ASM,LINE;BRANCH,1.0,64,64
org.evoservice.ASM.RegistroDiCassav2_ASM,LINE;BRANCH,0.9432900432900433,76,73
org.evoservice.ASM.RegistroDiCassav2_ASM,LINE;BRANCH;CBRANCH,1.0,80,80
org.evoservice.ASM.RegistroDiCassav2_ASM,LINE;BRANCH;CBRANCH,1.0,80,80
org.evoservice.RegistroDiCassa.RegistroDiCassav2_ASM,LINE;BRANCH;CBRANCH,1.0,80,80
