TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.example.RegistroDiCassa,LINE;BRANCH;EXCEPTION;WEAKMUTATION;OUTPUT;METHOD;METHODNOEXCEPTION;CBRANCH,0.8254762181552463,662,564
org.evoservice.RegistroDiCassa.RegistroDiCassav4,LINE;BRANCH;CBRANCH,0.7899904214559387,424,343
org.evoservice.RegistroDiCassa.RegistroDiCassav4,LINE;BRANCH;CBRANCH,0.773227969348659,424,337
org.evoservice.RegistroDiCassa.RegistroDiCassav4,LINE;BRANCH;CBRANCH,0.7983716475095785,424,346
org.evoservice.RegistroDiCassa.RegistroDiCassav4,LINE;BRANCH;CBRANCH,0.8220097871856152,434,362
org.evoservice.RegistroDiCassa.RegistroDiCassa_TestGen,LINE;BRANCH;CBRANCH,0.9712849219924324,454,434
org.evoservice.RegistroDiCassa.RegistroDiCassa_TestGen,LINE;BRANCH;CBRANCH,0.9449411703726741,454,429
org.evoservice.RegistroDiCassa.RegistroDiCassa_TestGen,LINE;BRANCH;CBRANCH,0.43476668759154635,452,213
org.evoservice.RegistroDiCassa.RegistroDiCassa_TestGen,LINE;BRANCH;CBRANCH,0.43476668759154635,452,213
org.evoservice.RegistroDiCassa.RegistroDiCassa_TestGen,LINE;BRANCH;CBRANCH,0.428560400538168,492,229
org.evoservice.RegistroDiCassa.RegistroDiCassa_TestGen,LINE;BRANCH;CBRANCH,0.428560400538168,492,229
