TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
domaintests.AbstractTD_ATG,LINE;BRANCH,0.9375,29,28
domaintests.AbstractTD_ATG,LINE;BRANCH,0.9375,29,28
domaintests.AbstractTD_ATG,LINE;BRANCH,0.9375,29,28
domaintests.AbstractTD_ATG,LINE;BRANCH,0.8888888888888888,31,29
domaintests.AbstractTD_ATG,LINE;BRANCH,0.9090909090909092,37,35
domaintests.AbstractTD_ATG,LINE;BRANCH,0.9411764705882353,61,59
domaintests.AbstractTD_ATG,LINE;BRANCH,0.9351851851851851,190,183
domaintests.BasicTD_ATG,LINE;BRANCH,0.96875,52,51
domaintests.EnumTD_ATG,LINE;BRANCH,0.8376291079812207,513,436
domaintests.ConcreteD_ATG,LINE;BRANCH,0.8416666666666667,42,37
domaintests.ConcreteD_ATG,LINE;BRANCH,0.9589947089947091,225,218
domaintests.SequenceDomain_ATG,LINE;BRANCH,0.9545454545454546,37,36
domaintests.SequenceDomain_ATG,LINE;BRANCH,0.7821428571428571,55,45
domaintests.SequenceDomain_ATG,LINE;BRANCH,0.7916666666666666,57,47
domaintests.SequenceDomain_ATG,LINE;BRANCH,0.8,66,56
domaintests.SequenceDomain_ATG,LINE;BRANCH,0.4072340425531915,72,33
domaintests.SequenceDomain_ATG,LINE;BRANCH,0.43239533287577214,78,36
domaintests.SequenceDomain_ATG,LINE;BRANCH,0.844200411805079,78,68
domaintests.SequenceDomain_ATG,LINE;BRANCH,0.844200411805079,78,68
domaintests.SequenceDomain_ATG,LINE;BRANCH,0.844200411805079,78,68
domaintests.SequenceDomain_ATG,LINE;BRANCH,0.4643102264927934,78,39
domaintests.SequenceDomain_ATG,LINE;BRANCH,0.4643102264927934,78,39
domaintests.SequenceDomain_ATG,LINE;BRANCH,0.575268817204301,79,47
domaintests.SequenceDomain_ATG,LINE;BRANCH,0.7543682795698925,79,62
domaintests.SequenceDomain_ATG,LINE;BRANCH,0.575268817204301,79,47
domaintests.SequenceDomain_ATG,LINE;BRANCH,0.575268817204301,79,47
domaintests.SequenceDomain_ATG,LINE;BRANCH,0.575268817204301,79,47
domaintests.SequenceDomain_ATG,LINE;BRANCH,0.7543682795698925,79,62
domaintests.SequenceDomain_ATG,LINE;BRANCH,0.7621212121212121,106,85
domaintests.SequenceDomain_ATG,LINE;BRANCH,0.7555986218776916,140,111
domaintests.NaturalDomain_ATG,LINE;BRANCH,0.9814814814814814,98,97
