TARGET_CLASS,criterion,Coverage,Total_Goals,Covered_Goals
org.evoservice.wrapper.RegistroDiCassav4_ASM,LINE;BRANCH,0.807032590051458,75,63
org.evoservice.wrapper.RegistroDiCassav4_ASM,LINE;BRANCH,0.7727910238429172,85,67
org.evoservice.wrapper.RegistroDiCassav4_ASM,LINE;BRANCH,0.8169336384439359,80,68
org.evoservice.wrapper.RegistroDiCassav4_ASM,LINE;BRANCH,0.8788291354663036,178,158
org.evoservice.wrapper.RegistroDiCassav4_ASM,LINE;BRANCH,0.9275304926342468,166,157
org.evoservice.wrapper.RegistroDiCassav4_ATG,LINE;BRANCH,0.939863130881095,272,259
org.evoservice.wrapper.RegistroDiCassav4_ATG,LINE;BRANCH,0.9165953806672369,272,253
org.evoservice.wrapper.RegistroDiCassav4_ATG,LINE;BRANCH,0.8896929824561404,239,218
org.evoservice.wrapper.RegistroDiCassav4_ATG,LINE;BRANCH,0.9071637426900585,239,222
org.evoservice.wrapper.RegistroDiCassav4_ATG,LINE;BRANCH,0.8896929824561404,239,218
org.evoservice.wrapper.RegistroDiCassav4_ATG,LINE;BRANCH,0.8896929824561404,239,216
org.evoservice.wrapper.RegistroDiCassav4_ATG,LINE;BRANCH,0.8838661338661339,223,200
org.evoservice.wrapper.RegistroDiCassav4_ATG,LINE;BRANCH,0.8617931252970061,166,147
org.evoservice.wrapper.RegistroDiCassav4_ASM,LINE;BRANCH,0.8617931252970061,166,147
org.evoservice.wrapper.RegistroDiCassav4_ASM,LINE;BRANCH,0.8617931252970061,166,147
org.evoservice.wrapper.RegistroDiCassav4_ASM,LINE;BRANCH,0.8617931252970061,166,147
org.evoservice.wrapper.RegistroDiCassav4_ASM,LINE;BRANCH,0.8880880722319024,166,151
org.evoservice.wrapper.RegistroDiCassav4_ASM,LINE;BRANCH,0.8617931252970061,166,147
org.evoservice.wrapper.RegistroDiCassav4_ASM,LINE;BRANCH,0.8880880722319024,166,151
org.evoservice.wrapper.RegistroDiCassav4_ASM,LINE;BRANCH,0.8617931252970061,166,147
org.evoservice.wrapper.RegistroDiCassav4_ASM,LINE;BRANCH,0.8880880722319024,166,151
org.evoservice.wrapper.RegistroDiCassav4_ASM,LINE;BRANCH,0.8617931252970061,166,147
org.evoservice.wrapper.RegistroDiCassav4_ASM,LINE;BRANCH,0.9275304926342468,166,157
org.evoservice.wrapper.RegistroDiCassav4_ASM,LINE;BRANCH,0.8617931252970061,166,147
org.evoservice.wrapper.RegistroDiCassav4_ASM,LINE;BRANCH,0.8617931252970061,166,147
org.evoservice.wrapper.RegistroDiCassav4_ASM,LINE;BRANCH,0.8880880722319024,166,151
org.evoservice.wrapper.RegistroDiCassav4_ASM,LINE;BRANCH,0.8617931252970061,166,147
org.evoservice.wrapper.RegistroDiCassav4_ASM,LINE;BRANCH,0.8617931252970061,166,147
org.evoservice.wrapper.RegistroDiCassav4_ASM,LINE;BRANCH,0.8880880722319024,166,151
org.evoservice.wrapper.RegistroDiCassav4_ASM,LINE;BRANCH,0.8880880722319024,166,151
org.evoservice.wrapper.RegistroDiCassav4_ASM,LINE;BRANCH,0.8617931252970061,166,147
org.evoservice.wrapper.RegistroDiCassav4_ASM,LINE;BRANCH,0.8880880722319024,166,151
org.evoservice.wrapper.RegistroDiCassav4_ASM,LINE;BRANCH,0.9275304926342468,166,157
org.evoservice.wrapper.RegistroDiCassav4_ASM,LINE;BRANCH,0.8880880722319024,166,151
org.evoservice.wrapper.RegistroDiCassav4_ATG,LINE;BRANCH,0.8617931252970061,166,147
